Quantity,Discipline,Quantity TypeId,Type Catalog String,Unit Name,Unit TypeId,Unit Symbol,Conversion Factor From Internal,Conversion Factor To Internal,Is Valid
"Area divided by Heating Load","HVAC","autodesk.spec.aec.hvac:areaDividedByHeatingLoad-2.0.0","HVAC_AREA_DIVIDED_BY_HEATING_LOAD","Square meters per kilowatt","autodesk.unit.unit:squareMetersPerKilowatt-1.0.1","m²/kW",1000,0.001,True
"Cooling Load","HVAC","autodesk.spec.aec.hvac:coolingLoad-2.0.0","HVAC_COOLING_LOAD","British thermal units per hour","autodesk.unit.unit:britishThermalUnitsPerHour-1.0.1","Btu/h",0.316998330628151,3.15459074506305,True
"Cooling Load","HVAC","autodesk.spec.aec.hvac:coolingLoad-2.0.0","HVAC_COOLING_LOAD","British thermal units per second","autodesk.unit.unit:britishThermalUnitsPerSecond-1.0.1","Btu/s",8.80550918411529E-05,11356.526682227,True
"Cooling Load","HVAC","autodesk.spec.aec.hvac:coolingLoad-2.0.0","HVAC_COOLING_LOAD","Kilowatts","autodesk.unit.unit:kilowatts-1.0.1","kW",9.290304E-05,10763.9104167097,True
"Cooling Load","HVAC","autodesk.spec.aec.hvac:coolingLoad-2.0.0","HVAC_COOLING_LOAD","Tons of refrigeration","autodesk.unit.unit:tonsOfRefrigeration-1.0.1","ton of refrigeration",2.64165275523459E-05,37855.0889407566,True
"Cooling Load","HVAC","autodesk.spec.aec.hvac:coolingLoad-2.0.0","HVAC_COOLING_LOAD","Watts","autodesk.unit.unit:watts-1.0.1","W",0.09290304,10.7639104167097,True
"Cooling Load divided by Area","HVAC","autodesk.spec.aec.hvac:coolingLoadDividedByArea-2.0.0","HVAC_COOLING_LOAD_DIVIDED_BY_AREA","British thermal units per hour square foot","autodesk.unit.unit:britishThermalUnitsPerHourSquareFoot-1.0.1","Btu/(h·ft²)",0.316998330628151,3.15459074506305,True
"Cooling Load divided by Area","HVAC","autodesk.spec.aec.hvac:coolingLoadDividedByArea-2.0.0","HVAC_COOLING_LOAD_DIVIDED_BY_AREA","Watts per square foot","autodesk.unit.unit:wattsPerSquareFoot-1.0.1","W/ft²",0.09290304,10.7639104167097,True
"Cooling Load divided by Area","HVAC","autodesk.spec.aec.hvac:coolingLoadDividedByArea-2.0.0","HVAC_COOLING_LOAD_DIVIDED_BY_AREA","Watts per square meter","autodesk.unit.unit:wattsPerSquareMeter-1.0.1","W/m²",1,1,True
"Cooling Load divided by Volume","HVAC","autodesk.spec.aec.hvac:coolingLoadDividedByVolume-2.0.0","HVAC_COOLING_LOAD_DIVIDED_BY_VOLUME","British thermal units per hour cubic foot","autodesk.unit.unit:britishThermalUnitsPerHourCubicFoot-1.0.1","Btu/(h·ft³)",0.316998330628151,3.15459074506305,True
"Cooling Load divided by Volume","HVAC","autodesk.spec.aec.hvac:coolingLoadDividedByVolume-2.0.0","HVAC_COOLING_LOAD_DIVIDED_BY_VOLUME","Watts per cubic foot","autodesk.unit.unit:wattsPerCubicFoot-1.0.1","W/ft³",0.09290304,10.7639104167097,True
